182   NumCoords   ! The number of coordinates in the airfoil shape file.  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.250000 0.000000
! coordinates of airfoil shape
! interpolation to N points
!  x/c        y/c
1.000000 -0.010121
0.988170 -0.007628
0.976313 -0.005266
0.964362 -0.003442
0.952363 -0.001942
0.940307 -0.001078
0.928230 -0.000461
0.916140 -0.000289
0.904049 -0.000343
0.891968 -0.000799
0.879902 -0.001595
0.867864 -0.002708
0.855849 -0.004073
0.843876 -0.005749
0.831944 -0.007705
0.820051 -0.009877
0.808209 -0.012322
0.796417 -0.014988
0.784681 -0.017899
0.772993 -0.020992
0.761378 -0.024354
0.749804 -0.027851
0.738286 -0.031532
0.726815 -0.035353
0.715394 -0.039325
0.704009 -0.043397
0.692666 -0.047589
0.681358 -0.051870
0.670075 -0.056222
0.658814 -0.060628
0.647569 -0.065074
0.636334 -0.069547
0.625103 -0.074028
0.613870 -0.078506
0.602633 -0.082975
0.591378 -0.087397
0.580110 -0.091787
0.568816 -0.096109
0.557498 -0.100367
0.546149 -0.104541
0.534759 -0.108604
0.523344 -0.112596
0.511876 -0.116431
0.500376 -0.120172
0.488831 -0.123769
0.477237 -0.127205
0.465609 -0.130524
0.453926 -0.133645
0.442202 -0.136607
0.430440 -0.139418
0.418625 -0.141995
0.406778 -0.144418
0.394898 -0.146677
0.382973 -0.148682
0.371015 -0.150476
0.359027 -0.152059
0.347010 -0.153411
0.334964 -0.154473
0.322902 -0.155333
0.310828 -0.155983
0.298742 -0.156394
0.286651 -0.156550
0.274559 -0.156423
0.262473 -0.156018
0.250409 -0.155218
0.238374 -0.154051
0.226367 -0.152616
0.214389 -0.150959
0.202446 -0.149064
0.190547 -0.146908
0.178706 -0.144461
0.166930 -0.141718
0.155234 -0.138657
0.143669 -0.135131
0.132256 -0.131137
0.120986 -0.126758
0.109891 -0.121953
0.098986 -0.116733
0.088308 -0.111064
0.077881 -0.104950
0.067747 -0.098364
0.057946 -0.091299
0.048524 -0.083739
0.039551 -0.075660
0.031103 -0.067043
0.023278 -0.057864
0.016202 -0.048101
0.010054 -0.037733
0.005138 -0.026731
0.001707 -0.015171
0.000202 -0.003187
0.000645 0.008874
0.002885 0.020737
0.006629 0.032203
0.011728 0.043130
0.017961 0.053459
0.025092 0.063189
0.032963 0.072332
0.041467 0.080892
0.050499 0.088900
0.060002 0.096348
0.069902 0.103266
0.080149 0.109662
0.090700 0.115551
0.101513 0.120950
0.112554 0.125867
0.123785 0.130338
0.135192 0.134343
0.146734 0.137942
0.158410 0.141075
0.170210 0.143706
0.182081 0.146001
0.194009 0.147981
0.205985 0.149648
0.217998 0.151037
0.230037 0.152169
0.242096 0.153068
0.254169 0.153742
0.266253 0.154205
0.278342 0.154465
0.290432 0.154547
0.302522 0.154262
0.314605 0.153787
0.326682 0.153171
0.338750 0.152399
0.350807 0.151476
0.362851 0.150386
0.374880 0.149152
0.386895 0.147794
0.398898 0.146324
0.410881 0.144704
0.422851 0.142991
0.434808 0.141190
0.446747 0.139273
0.458678 0.137301
0.470597 0.135262
0.482498 0.133122
0.494389 0.130925
0.506269 0.128670
0.518136 0.126341
0.529993 0.123969
0.541838 0.121536
0.553674 0.119060
0.565502 0.116545
0.577318 0.113975
0.589128 0.111376
0.600926 0.108722
0.612718 0.106045
0.624502 0.103330
0.636278 0.100582
0.648048 0.097807
0.659810 0.094998
0.671567 0.092171
0.683316 0.089308
0.695061 0.086432
0.706799 0.083523
0.718535 0.080606
0.730262 0.077658
0.741988 0.074702
0.753710 0.071729
0.765430 0.068751
0.777147 0.065760
0.788863 0.062767
0.800579 0.059770
0.812293 0.056770
0.824007 0.053765
0.835720 0.050761
0.847435 0.047763
0.859153 0.044773
0.870874 0.041798
0.882597 0.038831
0.894324 0.035881
0.906054 0.032943
0.917793 0.030038
0.929534 0.027143
0.941279 0.024263
0.953023 0.021384
0.964768 0.018503
0.976512 0.015620
0.988256 0.012739
1.000000 0.009854
