! ------------ AirfoilInfo v1.01.x Input File ----------------------------------
! AeroElasticSE FAST driver
! line
! line
! ------------------------------------------------------------------------------
DEFAULT                  InterpOrd   ! Interpolation order to use for quasi-steady table lookup {1=linear; 3=cubic spline; "default"} [default=3]
1                        NonDimArea  ! The non-dimensional area of the airfoil (area/chord^2) (set to 1.0 if unsure or unneeded)
@"NOSTRUM-15-270-RWT_AF00_Coords.txt"       NumCoords   ! The number of coordinates in the airfoil shape file. Set to zero if coordinates not included.
"unused"              BL_file     ! The file name including the boundary layer characteristics of the profile. Ignored if the aeroacoustic module is not called.
1                        NumTabs     ! Number of airfoil tables in this file.  Each table must have lines for Re and Ctrl.
! ------------------------------------------------------------------------------
! data for table 1 
! ------------------------------------------------------------------------------
12.000000                 Re          ! Reynolds number in millions
0                        Ctrl        ! Control setting (must be 0 for current AirfoilInfo)
False                    InclUAdata  ! Is unsteady aerodynamics data included in this table? If TRUE, then include 30 UA coefficients below this line
! Table of aerodynamics coefficients
 53                      NumAlf      ! Number of data lines in the following table
!    Alpha      Cl      Cd        Cm
!    (deg)      (-)     (-)       (-)
-180.000000 0.000100 0.350000 0.000000
-170.000000 0.000100 0.350000 0.000000
-160.000000 0.000100 0.350000 0.000000
-150.000000 0.000100 0.350000 0.000000
-140.000000 0.000100 0.350000 0.000000
-130.000000 0.000100 0.350000 0.000000
-120.000000 0.000100 0.350000 0.000000
-110.000000 0.000100 0.350000 0.000000
-100.000000 0.000100 0.350000 0.000000
-90.000000 0.000100 0.350000 0.000000
-80.000000 0.000100 0.350000 0.000000
-70.000000 0.000100 0.350000 0.000000
-60.000000 0.000100 0.350000 0.000000
-50.000000 0.000100 0.350000 0.000000
-40.000000 0.000100 0.350000 0.000000
-30.000000 0.000100 0.350000 0.000000
-20.000000 0.000100 0.350000 0.000000
-18.000000 0.000100 0.350000 0.000000
-16.000000 0.000100 0.350000 0.000000
-14.000000 0.000100 0.350000 0.000000
-12.000000 0.000100 0.350000 0.000000
-10.000000 0.000100 0.350000 0.000000
-8.000000 0.000100 0.350000 0.000000
-6.000000 0.000100 0.350000 0.000000
-4.000000 0.000100 0.350000 0.000000
-2.000000 0.000100 0.350000 0.000000
0.000000 0.000100 0.350000 0.000000
2.000000 0.000100 0.350000 0.000000
4.000000 0.000100 0.350000 0.000000
6.000000 0.000100 0.350000 0.000000
8.000000 0.000100 0.350000 0.000000
10.000000 0.000100 0.350000 0.000000
12.000000 0.000100 0.350000 0.000000
14.000000 0.000100 0.350000 0.000000
16.000000 0.000100 0.350000 0.000000
18.000000 0.000100 0.350000 0.000000
20.000000 0.000100 0.350000 0.000000
30.000000 0.000100 0.350000 0.000000
40.000000 0.000100 0.350000 0.000000
50.000000 0.000100 0.350000 0.000000
60.000000 0.000100 0.350000 0.000000
70.000000 0.000100 0.350000 0.000000
80.000000 0.000100 0.350000 0.000000
90.000000 0.000100 0.350000 0.000000
100.000000 0.000100 0.350000 0.000000
110.000000 0.000100 0.350000 0.000000
120.000000 0.000100 0.350000 0.000000
130.000000 0.000100 0.350000 0.000000
140.000000 0.000100 0.350000 0.000000
150.000000 0.000100 0.350000 0.000000
160.000000 0.000100 0.350000 0.000000
170.000000 0.000100 0.350000 0.000000
180.000000 0.000100 0.350000 0.000000
